,VIR,VIR,VIR,VIR,VIR,VIR,ABT,ABT,ABT,ABT,ABT,ABT,MRNA,MRNA,MRNA,MRNA,MRNA,MRNA,MRK,MRK,MRK,MRK,MRK,MRK,JNJ,JNJ,JNJ,JNJ,JNJ,JNJ
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,16.8799991607666,17.260000228881836,16.63800048828125,16.90999984741211,16.90999984741211,107000,89.0999984741211,89.55999755859375,88.04000091552734,88.45999908447266,88.45999908447266,3657500,18.860000610351562,19.170000076293945,18.420000076293945,18.540000915527344,18.540000915527344,4562200,82.22000122070312,82.83000183105469,81.72000122070312,82.48999786376953,81.81412506103516,10440200,148.61000061035156,149.3800048828125,147.39999389648438,148.3699951171875,147.4298858642578,7464700
2020-02-21,16.90999984741211,17.0,16.09000015258789,16.260000228881836,16.260000228881836,159400,88.04000091552734,88.25,87.16000366210938,87.44999694824219,87.44999694824219,5570900,18.469999313354492,18.549999237060547,17.90999984741211,18.229999542236328,18.229999542236328,3651100,82.19000244140625,82.62999725341797,81.70999908447266,82.33999633789062,81.66535186767578,8870200,148.08999633789062,150.24000549316406,147.5399932861328,149.92999267578125,148.97999572753906,7776800
2020-02-24,18.0,20.229999542236328,17.030000686645508,18.959999084472656,18.959999084472656,740700,85.44999694824219,85.66999816894531,84.06999969482422,84.62999725341797,84.62999725341797,5667200,19.229999542236328,19.280000686645508,18.299999237060547,18.59000015258789,18.59000015258789,7605400,80.61000061035156,82.58999633789062,80.56999969482422,81.33000183105469,80.66362762451172,13105100,146.5,149.0,145.25,145.91000366210938,145.91000366210938,10588900
2020-02-25,20.6200008392334,21.729999542236328,19.0,21.729999542236328,21.729999542236328,744200,84.93000030517578,85.37000274658203,80.77999877929688,81.12999725341797,81.12999725341797,7021800,22.149999618530273,26.549999237060547,20.510000228881836,23.760000228881836,23.760000228881836,65001900,81.52999877929688,81.94000244140625,79.8499984741211,80.2699966430664,79.61231231689453,12568400,145.99000549316406,146.75,143.8300018310547,144.64999389648438,144.64999389648438,10529000
2020-02-26,23.290000915527344,36.5,23.260000228881836,34.974998474121094,34.974998474121094,3955900,82.12999725341797,82.87999725341797,81.11000061035156,81.36000061035156,81.36000061035156,7380100,29.049999237060547,29.979999542236328,27.079999923706055,29.15999984741211,29.15999984741211,76444500,80.66000366210938,81.62999725341797,79.7699966430664,79.94000244140625,79.28501892089844,11393400,145.35000610351562,146.22000122070312,143.58999633789062,143.67999267578125,143.67999267578125,10093800
2020-02-27,68.98999786376953,75.0,38.11000061035156,60.20000076293945,60.20000076293945,6588600,80.4000015258789,82.02999877929688,79.16000366210938,79.19000244140625,79.19000244140625,8657200,35.880001068115234,36.0,23.049999237060547,26.15999984741211,26.15999984741211,68256300,80.70999908447266,81.75,78.0,78.08000183105469,77.44026184082031,15013600,142.55999755859375,144.77000427246094,138.9499969482422,139.1199951171875,139.1199951171875,12566700
2020-02-28,71.1500015258789,71.95999908447266,38.29999923706055,46.5,46.5,3339700,77.12000274658203,78.16000366210938,74.0199966430664,77.02999877929688,77.02999877929688,16673000,23.3799991607666,25.950000762939453,22.014999389648438,25.93000030517578,25.93000030517578,24425100,76.68000030517578,77.48999786376953,74.18000030517578,76.55999755859375,75.93270874023438,27922000,135.36000061035156,137.2899932861328,130.82000732421875,134.47999572753906,134.47999572753906,19825500
2020-03-02,39.529998779296875,47.0,38.2599983215332,45.0,45.0,813200,77.87999725341797,81.68000030517578,77.25,81.61000061035156,81.61000061035156,11483600,27.0,30.75,25.209999084472656,29.8799991607666,29.8799991607666,33084000,77.12999725341797,81.55000305175781,77.08000183105469,81.37000274658203,80.70330047607422,17977600,134.77999877929688,140.1300048828125,134.00999450683594,140.02000427246094,140.02000427246094,11508200
2020-03-03,38.70000076293945,41.5,36.082000732421875,40.970001220703125,40.970001220703125,892200,81.58000183105469,83.5,77.26000213623047,77.98999786376953,77.98999786376953,9510600,27.804000854492188,28.600000381469727,26.600000381469727,27.90999984741211,27.90999984741211,17599100,81.4000015258789,82.4000015258789,77.91000366210938,79.12999725341797,78.48165130615234,16597900,140.0,140.99000549316406,133.10000610351562,135.58999633789062,135.58999633789062,13662500
2020-03-04,42.0,47.4900016784668,41.52000045776367,44.900001525878906,44.900001525878906,1067500,80.66000366210938,82.33000183105469,79.45999908447266,82.08999633789062,82.08999633789062,8660000,27.989999771118164,28.719999313354492,26.799999237060547,27.489999771118164,27.489999771118164,11817700,81.5,83.06999969482422,79.87999725341797,82.97000122070312,82.29019165039062,19297900,137.67999267578125,143.63999938964844,137.13999938964844,143.47999572753906,143.47999572753906,10560500
2020-03-05,45.720001220703125,46.63999938964844,43.02000045776367,43.779998779296875,43.779998779296875,426900,80.29000091552734,81.47000122070312,79.12999725341797,80.5199966430664,80.5199966430664,9288700,27.489999771118164,28.950000762939453,26.53499984741211,28.010000228881836,28.010000228881836,14670000,81.52999877929688,82.7699966430664,80.94000244140625,81.58000183105469,80.91158294677734,14330000,140.8000030517578,142.67999267578125,139.83999633789062,142.00999450683594,142.00999450683594,11339200
2020-03-06,42.54999923706055,46.0,42.150001525878906,45.70000076293945,45.70000076293945,474000,78.5999984741211,82.30000305175781,78.08999633789062,81.73999786376953,81.73999786376953,10647600,27.979999542236328,29.799999237060547,27.670000076293945,29.610000610351562,29.610000610351562,21097500,79.97000122070312,82.62000274658203,79.43000030517578,82.19999694824219,81.52649688720703,13557800,138.47999572753906,143.00999450683594,137.41000366210938,142.02999877929688,142.02999877929688,12239100
2020-03-09,49.189998626708984,49.77000045776367,36.08000183105469,39.0,39.0,841700,76.61000061035156,79.33999633789062,75.0999984741211,77.0199966430664,77.0199966430664,10285000,30.0,30.0,24.15999984741211,24.290000915527344,24.290000915527344,14124100,78.0,80.72000122070312,76.98999786376953,78.95999908447266,78.31304931640625,18075200,136.3300018310547,139.67999267578125,134.89999389648438,136.44000244140625,136.44000244140625,13848600
2020-03-10,37.900001525878906,37.9900016784668,27.413999557495117,29.90999984741211,29.90999984741211,818100,79.2300033569336,81.0,75.93000030517578,80.87999725341797,80.87999725341797,9417400,25.709999084472656,25.940000534057617,21.280000686645508,22.34000015258789,22.34000015258789,13019500,80.4800033569336,82.18000030517578,77.5,82.0199966430664,81.34796905517578,16724700,139.97000122070312,141.9499969482422,134.22999572753906,141.63999938964844,141.63999938964844,12698100
2020-03-11,33.54999923706055,40.9900016784668,30.520000457763672,33.77000045776367,33.77000045776367,1450900,78.52999877929688,79.06999969482422,76.3499984741211,78.08999633789062,78.08999633789062,11534200,22.540000915527344,25.749000549316406,22.52400016784668,23.610000610351562,23.610000610351562,14809600,79.83000183105469,80.16000366210938,78.02999877929688,79.25,78.60066986083984,13620400,138.08999633789062,138.75,131.5,131.8000030517578,131.8000030517578,17763400
